coSYM,coName,coPrice,coChange,coChangePct,coVolume,coYTDchange
MMM,3M,171.62,-0.81,-0.0047,2181327,0.1393
AXP,American Express,72.03,0.17,0.0024,3929106,0.0357
AAPL,Apple,109.11,-0.79,-0.0072,34322201,0.0366
BA,Boeing,152.16,-0.09,-0.0006,2855933,0.0524
CAT,Caterpillar,94.45,-0.69,-0.0073,4980335,0.3898
CVX,Chevron,113.25,0.25,0.0022,6909563,0.2589
CSCO,Cisco,29.53,0.28,0.0096,20865842,0.0875
KO,Coca-Cola,40.62,0.26,0.0064,15977847,-0.0545
DIS,Disney,99.96,1.46,0.0148,11331493,-0.0487
DD,E I du Pont de Nemours and Co,72.89,-0.24,-0.0033,3432101,0.0944
XOM,Exxon Mobil,87.48,0.44,0.0051,11741009,0.1223
GE,General Electric,31.11,-0.23,-0.0073,22138326,-0.0013
GS,Goldman Sachs,228.55,5.19,0.0232,4597672,0.2681
HD,Home Depot,129.68,-0.19,-0.0015,4065275,-0.0194
IBM,IBM,159.84,-0.18,-0.0011,3447052,0.1615
INTC,Intel,34.39,0.23,0.0067,14461652,-0.0017
JNJ,Johnson & Johnson,111.94,-0.02,-0.0002,5451568,0.0898
JPM,JPMorgan Chase,83.26,1.66,0.0203,18523418,0.2609
MCD,McDonald's,119.29,1.05,0.0089,5191935,0.0097
MRK,Merck,60.25,-0.88,-0.0144,12978787,0.1407
MSFT,Microsoft,60.22,0.97,0.0164,23552658,0.0854
NKE,Nike,51.85,1.39,0.0275,12031135,-0.1704
PFE,Pfizer,31.59,-0.04,-0.0013,19300238,-0.0214
PG,Procter & Gamble,82.99,0.59,0.0072,8597543,0.0451
TRV,Travelers Companies Inc,115.87,0.22,0.0019,2041512,0.0267
UTX,United Technologies,107.42,-0.8,-0.0074,3077690,0.1181
UNH,UnitedHealth,157.63,-3.1,-0.0193,5854226,0.3399
VZ,Verizon,49.75,-0.06,-0.0012,13074713,0.0764
V,Visa,77.31,1.59,0.021,12119123,-0.0031
WMT,Wal-Mart,69.94,-0.94,-0.0133,10527877,0.1409
